"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Pneumoperitoneum","Exploratory laparotomy","Others","Open","Supine","1","Others","77.3","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"End stage kidney disease on dialysis","Removal of permanent catheter","Vascular","Open","Supine","1","Vascular","70.8","Minor","Vascular","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Intestinal perforation","Exploratory laparotomy","Others","Open","Supine","1","Others","73.4","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Postoperative bleeding","Bleeding control","Others","Open","Left lateral decubitus","1","Others","69.3","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Metastatic cancer to the peritoneum","Exploratory laparotomy","Others","Open","Supine","1","Others","67.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Neoplasm of chest wall, uncertain behavior","Excision","Others","Open","Supine","1","PituitaryTSA","66.7","Minor","Neuro / Spine","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Excision","Others","Open","Left lateral decubitus","1","CraniTumorSkullBase","71.1","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Anal bleeding","Anterior resection","Colorectal","Videoscopic","Supine","1","Colorectal","56.2","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Extended hemihepatectomy","Hepatic","Open","Supine","1","Hepatic","80.8","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Epithelial ovarian cancer unknown stage unspecified side","Hysterectomy","Major resection","Videoscopic","Supine","1","PumpSCSPlacementRevision","54.0","Major","Neuro / Spine","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Ileitis","Exploratory laparotomy","Others","Open","Supine","1","Others","86.1","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Condyloma acuminata","Electrocauterization","Others","Open","Prone","1","Others","74.0","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Prone","Est.Duration:<1hr"
"breast cancer","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","74.0","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
